	code	name	pe	roe
600009	600009	上海机场	25.79	14.65
600016	600016	民生银行	5.83	13.14
600018	600018	上港集团	14.08	16.6
600029	600029	南方航空	17.52	11.92
600036	600036	招商银行	10.43	14.6
600066	600066	宇通客车	18.91	20.18
600068	600068	葛洲坝	8.61	11.41
600104	600104	上汽集团	11.54	15.27
600115	600115	东方航空	16.38	11.96
600188	600188	兖州煤业	9.87	12.32
600309	600309	万华化学	8.95	40.81
600332	600332	白云山	23.5	10.92
600340	600340	华夏幸福	11.1	23.67
600373	600373	中文传媒	15.02	11.9
600585	600585	海螺水泥	10.84	17.73
600660	600660	福耀玻璃	19.39	16.57
600663	600663	陆家嘴	20.45	21.85
600688	600688	上海石化	10.42	21.73
600705	600705	中航资本	17.32	11.96
600741	600741	华域汽车	11.53	15.87
600816	600816	安信信托	14.57	22.65
600886	600886	国投电力	14.74	10.57
601012	601012	隆基股份	19.04	25.11
601088	601088	中国神华	9.2	14.93
601155	601155	新城控股	13.31	29.23
601186	601186	中国铁建	8.36	10.74
601225	601225	陕西煤业	7.5	23.62
601288	601288	农业银行	6.46	13.52
601318	601318	中国平安	13.27	18.82
601328	601328	交通银行	6.51	10.46
601390	601390	中国中铁	10.54	10.34
601398	601398	工商银行	7.43	13.44
601601	601601	中国太保	20.69	10.66
601607	601607	上海医药	19.65	10.34
601628	601628	中国人寿	22.27	10.04
601633	601633	长城汽车	20.7	10.23
601688	601688	华泰证券	13.72	10.62
601800	601800	中国交建	10.17	11.35
601818	601818	光大银行	6.76	10.35
601899	601899	紫金矿业	29.02	10.02
601919	601919	中远海控	22.49	12.87
601939	601939	建设银行	7.75	13.61
601988	601988	中国银行	6.63	11.52
601998	601998	中信银行	7.36	10.65
000001	000001	平安银行	7.93	10.44
000002	000002	万科A	13.18	21.14
000060	000060	中金岭南	19.46	10.66
000063	000063	中兴通讯	28.29	14.43
000333	000333	美的集团	20.1	23.43
000338	000338	潍柴动力	9.89	19.32
000402	000402	金融街	9.68	10.17
000423	000423	东阿阿胶	19.63	20.76
000559	000559	万向钱潮	27.8	17.45
000723	000723	美锦能源	19.55	13.78
000776	000776	广发证券	14.74	10.12
000895	000895	双汇发展	18.94	29.54
000898	000898	鞍钢股份	7.64	11.21
001979	001979	招商蛇口	14.07	17.87
002142	002142	宁波银行	10.35	16.34
002202	002202	金风科技	19.65	13.46
002236	002236	大华股份	29.73	22.72
002241	002241	歌尔股份	21.4	14.36
002385	002385	大北农	19.48	12.38
002601	002601	龙蟒佰利	14.62	19.41
002624	002624	完美世界	28.83	18.89
002714	002714	牧原股份	23.12	18.57
300144	300144	宋城演艺	28.3	14.56
